レース情報,馬番,馬名,騎手名,基準オッズ,基準人気順位,ラップ適性,ラップキャラ,展開順位,展開ゴール差,先行力,追走力,持久力,持続力,瞬発力,ＳＴ指数,仕上指数,合計値,合計値順位,,先行力順位,追走力順位,持久力順位,持続力順位,瞬発力順位,ＳＴ指数順位,仕上指数順位,着,人,単勝
福島6R　３歳上500万下３歳上(定量)　ダ1700ｍ　12:45発走,11,ゴールデンタッチ,井上敏,11.9,5,超低速底力,ピッタリ,9,24,59,53,40,35,36,55,57,8,1,,2.0,7.0,13.0,13.0,13.0,2.0,2.0,14,7,16.1
福島6R　３歳上500万下３歳上(定量)　ダ1700ｍ　12:45発走,12,レオアルティメット,木幡巧,13.1,7,超低速バランス,,2,7,59,62,61,52,45,44,51,-9,10,,2.0,1.0,2.0,6.0,12.0,9.0,7.0,9,5,9.7
福島6R　３歳上500万下３歳上(定量)　ダ1700ｍ　12:45発走,13,ショウナンマシェリ,荻野極,23.4,10,超低速底力,ピッタリ,6,16,54,55,55,51,48,45,52,-7,8,,6.0,6.0,5.0,7.0,9.0,8.0,4.0,7,11,35.8
福島6R　３歳上500万下３歳上(定量)　ダ1700ｍ　12:45発走,14,アンリキャトル,木幡育,18.9,9,超低速瞬発,,1,0,54,60,68,67,60,44,51,-9,11,,6.0,2.0,1.0,1.0,1.0,9.0,7.0,5,10,30.0
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,01,セレナライティア,藤田菜,24.1,10,中速スタミナ,ピッタリ,10,16,62,62,51,41,39,54,53,-1,5,,1.0,3.0,7.0,14.0,14.0,3.0,7.0,13,10,28.2
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,02,ラブリーイレブン,川又賢,13.7,6,低速底力,,15,21,32,34,53,49,48,48,51,-9,11,,15.0,16.0,4.0,8.0,9.0,11.0,12.0,5,8,14.9
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,03,アンジュラミエル,中井裕,88.8,16,中速スタミナ,ピッタリ,13,18,53,54,51,46,45,35,53,-20,15,,8.0,6.0,7.0,10.0,11.0,15.0,7.0,15,16,178.0
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,04,シャンパンサーベル,木幡育,4.8,3,中速スタミナ,ピッタリ,4,7,29,38,63,71,66,49,54,-5,9,,16.0,15.0,2.0,1.0,1.0,10.0,1.0,11,3,6.2
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,05,エピューレ,富田暁,71.8,15,中速底力,カスリ,14,20,52,39,29,34,44,45,53,-10,12,,10.0,13.0,15.0,16.0,12.0,14.0,7.0,9,14,96.1
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,06,エルフィ,黛弘人,11.3,5,中速スタミナ,ピッタリ,2,1,53,54,51,59,59,54,54,0,2,,8.0,6.0,7.0,4.0,4.0,3.0,1.0,7,9,17.6
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,07,シェーナ,鮫島駿,6.3,4,中速スタミナ,ピッタリ,7,16,41,40,49,51,51,55,54,1,1,,13.0,12.0,12.0,7.0,8.0,2.0,1.0,1,2,5.3
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,08,レッドオリアナ,嶋田純,30.4,13,中速スタミナ,ピッタリ,11,17,61,63,53,38,35,46,49,-13,13,,2.0,2.0,4.0,15.0,15.0,13.0,14.0,6,11,28.7
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,09,レンレン,岩崎翼,18.7,9,高速スタミナ,カスリ,6,11,59,45,28,43,54,50,43,-15,14,,3.0,11.0,16.0,12.0,6.0,7.0,15.0,12,12,32.7
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,10,タイセイアピール,吉田隼,16.5,8,中速スタミナ,ピッタリ,3,2,55,54,48,55,57,50,53,-5,8,,5.0,6.0,13.0,6.0,5.0,7.0,7.0,10,5,8.3
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,11,マートルリース,津村明,4.3,1,高速瞬発,,12,18,54,66,69,45,33,50,54,-4,7,,6.0,1.0,1.0,11.0,16.0,7.0,1.0,14,1,5.1
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,12,デルマオフクロサン,菊沢一,45.1,14,高速スタミナ,カスリ,9,16,59,60,51,43,42,64,43,-1,3,,3.0,4.0,7.0,12.0,13.0,1.0,15.0,4,13,48.5
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,13,プリティマックス,横山武,4.7,2,超高速バランス,,1,0,54,56,53,63,63,51,54,-3,6,,6.0,5.0,4.0,2.0,2.0,6.0,1.0,8,4,8.2
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,14,グランデミノル,丸山元,16.0,7,超低速バランス,,8,16,43,46,54,56,54,54,53,-1,4,,12.0,10.0,3.0,5.0,6.0,3.0,7.0,2,7,10.3
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,15,エムオービーナス,勝浦正,29.6,12,高速底力,,16,24,40,39,48,47,48,30,51,-27,16,,14.0,13.0,13.0,9.0,9.0,16.0,12.0,16,15,104.4
福島7R　３歳上500万下３歳上(定量)　ダ1150ｍ　13:15発走,16,ウラガーノ,丹内祐,24.3,11,低速スタミナ,カスリ,5,7,52,52,50,61,62,47,54,-7,10,,10.0,9.0,11.0,3.0,3.0,12.0,1.0,3,6,9.6
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,01,ボナデア,宮崎北,24.7,10,超高速持続,,7,7,64,59,47,47,48,61,54,3,5,,2.0,3.0,10.0,10.0,10.0,2.0,10.0,11,4,9.0
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,02,コンセッションズ,横山武,10.9,4,高速底力,,1,0,67,68,60,59,54,60,56,4,4,,1.0,1.0,4.0,3.0,6.0,3.0,3.0,6,5,9.7
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,03,レジェンドソウル,黛弘人,13.0,8,高速スタミナ,カスリ,5,5,58,59,57,52,48,53,56,-3,11,,4.0,3.0,5.0,8.0,10.0,11.0,3.0,8,9,19.6
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,04,メイショウラバンド,岩崎翼,17.5,9,中速持続,,4,5,46,47,50,59,60,59,55,2,7,,12.0,10.0,8.0,3.0,3.0,4.0,7.0,9,10,25.9
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,05,クロスアミュレット,川又賢,78.5,15,中速持続,,13,17,50,51,51,43,42,57,55,0,9,,8.0,7.0,7.0,13.0,13.0,10.0,7.0,12,14,78.5
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,06,アンヴェルス,西田雄,42.5,13,高速スタミナ,カスリ,14,18,52,48,44,31,32,43,40,-29,16,,6.0,9.0,13.0,15.0,15.0,15.0,15.0,15,13,57.3
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,07,マジョラム,鮫島駿,11.7,6,超高速底力,カスリ,3,5,48,47,47,59,62,59,56,3,6,,10.0,10.0,10.0,3.0,2.0,4.0,3.0,4,6,13.8
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,08,トワイライトライフ,津村明,2.7,1,超高速底力,カスリ,10,13,42,39,39,45,51,58,62,8,1,,14.0,15.0,15.0,11.0,9.0,6.0,1.0,1,1,2.5
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,09,ロンス,富田暁,52.5,14,超高速スタミナ,ピッタリ,12,14,52,50,48,44,45,45,42,-25,14,,6.0,8.0,9.0,12.0,12.0,14.0,14.0,13,15,88.9
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,10,モンテヴェルデ,古川吉,11.3,5,超高速スタミナ,ピッタリ,8,8,27,40,63,62,56,58,54,0,8,,16.0,14.0,2.0,1.0,4.0,6.0,10.0,5,8,19.0
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,11,シンデレラメイク,菱田裕,5.3,2,高速底力,,2,4,47,55,64,60,54,58,62,8,2,,11.0,6.0,1.0,2.0,6.0,6.0,1.0,3,3,7.2
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,12,メジェールスー,荻野極,12.1,7,高速バランス,,11,13,38,29,27,55,68,58,51,-3,10,,15.0,16.0,16.0,7.0,1.0,6.0,12.0,2,2,6.8
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,13,ブリリアントアート,木幡巧,35.7,12,中速バランス,,15,19,56,56,53,43,40,47,38,-27,15,,5.0,5.0,6.0,13.0,14.0,12.0,16.0,16,16,236.1
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,14,ネイビーアッシュ,柴山雄,9.4,3,高速持続,,6,6,61,64,62,58,53,63,56,7,3,,3.0,2.0,3.0,6.0,8.0,1.0,3.0,7,7,15.5
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,15,アドマイヤジャズ,丸山元,27.2,11,超高速スタミナ,ピッタリ,9,8,43,41,41,51,56,47,43,-22,13,,13.0,13.0,14.0,9.0,4.0,12.0,13.0,10,11,48.3
福島8R　３歳上500万下３歳上(定量)　芝1200ｍ　13:45発走,16,クリスエステソーロ,木幡育,89.0,16,低速スタミナ,,16,30,50,47,45,31,32,37,55,-20,12,,8.0,10.0,12.0,15.0,15.0,16.0,7.0,14,12,55.4
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,01,フォーティプリンス,丸山元,2.7,1,低速スタミナ,カスリ,5,6,42,44,54,66,65,56,56,4,2,,12.0,10.0,4.0,2.0,1.0,1.0,2.0,3,1,3.3
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,02,レノカズマ,荻野極,31.1,9,中速底力,カスリ,2,1,64,59,38,50,53,38,51,-19,13,,1.0,4.0,14.0,9.0,6.0,14.0,12.0,16,12,39.5
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,03,タキオンレイ,木幡育,76.4,14,低速スタミナ,カスリ,11,14,34,37,53,57,57,45,51,-12,9,,15.0,15.0,6.0,4.0,4.0,9.0,12.0,12,10,34.4
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,04,ココロノイコロ,丹内祐,39.6,11,低速スタミナ,カスリ,9,12,64,70,70,40,34,44,44,-20,14,,1.0,1.0,1.0,13.0,15.0,11.0,15.0,10,4,10.6
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,05,スズカファイン,岩崎翼,51.1,13,高速スタミナ,カスリ,1,0,59,54,34,58,63,39,53,-16,12,,3.0,6.0,16.0,3.0,3.0,13.0,6.0,7,14,87.9
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,06,シェヴェルニー,杉原誠,138.7,16,高速スタミナ,カスリ,16,27,43,42,44,32,33,46,53,-9,7,,11.0,13.0,11.0,16.0,16.0,8.0,6.0,9,16,241.4
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,07,ヴォルフスブルク,菱田裕,6.2,3,中速スタミナ,ピッタリ,12,16,42,43,52,50,49,45,54,-9,8,,12.0,12.0,8.0,9.0,9.0,9.0,3.0,11,3,5.2
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,08,ロードコメット,菊沢一,8.2,4,低速スタミナ,カスリ,3,3,57,58,53,52,51,51,54,-3,4,,5.0,5.0,6.0,6.0,7.0,4.0,3.0,6,5,12.8
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,09,ヤマカツサファイヤ,古川吉,14.4,6,高速持続,,7,9,50,51,51,57,57,43,53,-12,10,,9.0,8.0,9.0,4.0,4.0,12.0,6.0,5,7,21.3
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,10,ロトヴィグラス,嘉藤貴,31.9,10,中速スタミナ,ピッタリ,8,10,52,50,45,48,50,54,51,-3,3,,8.0,9.0,10.0,11.0,8.0,3.0,12.0,8,8,24.7
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,11,ウォーターメロン,柴山雄,20.5,7,中速スタミナ,ピッタリ,13,17,42,41,43,44,46,47,53,-8,6,,12.0,14.0,12.0,12.0,12.0,6.0,6.0,4,11,38.6
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,12,クインズマラクータ,西村淳,3.7,2,超低速スタミナ,,6,7,57,60,61,51,48,56,67,15,1,,5.0,3.0,3.0,8.0,10.0,1.0,1.0,1,2,3.5
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,13,ステラローザ,藤懸貴,27.6,8,超高速スタミナ,,14,17,55,53,42,36,38,32,53,-23,15,,7.0,7.0,13.0,15.0,14.0,15.0,6.0,15,9,32.2
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,14,シャイニングボルト,丸田恭,88.3,15,低速スタミナ,カスリ,10,12,32,35,54,67,65,50,42,-16,11,,16.0,16.0,4.0,1.0,1.0,5.0,16.0,14,13,46.8
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,15,ジャックビーンズ,鮫島駿,49.1,12,超低速スタミナ,,15,19,47,44,38,39,43,31,53,-24,16,,10.0,10.0,14.0,14.0,13.0,16.0,6.0,13,15,112.8
福島9R　３歳上500万下３歳上(定量)　ダ1150ｍ　14:15発走,16,マリノディアナ,吉田隼,8.8,5,低速スタミナ,カスリ,4,4,58,63,66,52,47,47,54,-7,5,,4.0,2.0,2.0,6.0,11.0,6.0,3.0,2,6,15.1
福島10R　磐梯山特別３歳上(定量)　芝2600ｍ　14:50発走,01,マリネリス,菊沢一,36.9,10,低速持続,カスリ,10,34,45,35,39,38,41,50,52,-14,7,,7.0,10.0,9.0,9.0,9.0,7.0,8.0,7,10,110.1
福島10R　磐梯山特別３歳上(定量)　芝2600ｍ　14:50発走,02,ウインレーヴドール,黛弘人,8.5,6,中速持続,,8,21,40,41,51,52,52,56,58,-2,5,,10.0,9.0,4.0,5.0,4.0,4.0,4.0,2,6,10.5
福島10R　磐梯山特別３歳上(定量)　芝2600ｍ　14:50発走,03,ブロウユアマインド,川又賢,25.3,8,中速バランス,カスリ,3,3,71,69,48,40,35,35,46,-35,10,,1.0,1.0,8.0,8.0,10.0,10.0,10.0,8,8,24.1
福島10R　磐梯山特別３歳上(定量)　芝2600ｍ　14:50発走,04,レッドボヌール,丸田恭,6.2,4,中速バランス,カスリ,6,12,43,43,50,59,67,55,58,-3,6,,8.0,7.0,5.0,3.0,1.0,6.0,4.0,6,4,7.6
福島10R　磐梯山特別３歳上(定量)　芝2600ｍ　14:50発走,05,ロゼフェニックス,勝浦正,6.2,5,中速バランス,カスリ,4,11,46,55,60,53,43,56,58,-2,4,,5.0,4.0,3.0,4.0,7.0,4.0,4.0,5,3,6.0
福島10R　磐梯山特別３歳上(定量)　芝2600ｍ　14:50発走,06,ヒラボクビューン,津村明,6.1,3,低速バランス,ピッタリ,5,11,53,52,49,50,52,58,59,1,3,,3.0,5.0,6.0,6.0,4.0,3.0,1.0,4,5,7.7
福島10R　磐梯山特別３歳上(定量)　芝2600ｍ　14:50発走,07,アイコン,古川吉,25.4,9,超低速瞬発,,9,24,43,43,49,45,42,48,54,-14,8,,8.0,7.0,6.0,7.0,8.0,8.0,7.0,10,9,80.7
福島10R　磐梯山特別３歳上(定量)　芝2600ｍ　14:50発走,08,ルックスマート,横山武,12.5,7,低速持続,カスリ,7,17,64,46,30,36,50,46,49,-21,9,,2.0,6.0,10.0,10.0,6.0,9.0,9.0,9,7,12.8
福島10R　磐梯山特別３歳上(定量)　芝2600ｍ　14:50発走,09,ノチェブランカ,吉田隼,2.5,1,超低速バランス,カスリ,1,0,46,57,62,65,62,62,59,5,1,,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1,1,3.1
福島10R　磐梯山特別３歳上(定量)　芝2600ｍ　14:50発走,10,カイザーヴェッター,丸山元,5.3,2,低速持続,カスリ,2,0,49,59,62,61,55,60,59,3,2,,4.0,2.0,1.0,2.0,3.0,2.0,1.0,3,2,3.6
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,01,ムスコローソ,吉田隼,9.2,5,高速底力,カスリ,13,12,31,33,51,49,48,57,62,-1,8,,15.0,16.0,9.0,9.0,8.0,10.0,2.0,4,7,14.6
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,02,トーセンアルバータ,黛弘人,41.2,14,高速スタミナ,,4,7,62,57,47,43,44,57,56,-7,12,,2.0,6.0,10.0,11.0,11.0,10.0,14.0,11,12,35.3
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,03,サウンドドゥイット,小崎綾,26.2,9,高速スタミナ,,9,9,62,45,35,33,43,52,59,-9,15,,2.0,10.0,14.0,16.0,13.0,16.0,8.0,10,15,90.2
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,04,コウエイダリア,丸山元,29.1,11,超高速持続,カスリ,11,11,47,44,47,41,40,65,59,4,3,,10.0,12.0,10.0,13.0,14.0,1.0,8.0,15,4,7.0
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,05,コパノディール,藤田菜,15.5,7,中速スタミナ,,5,8,43,39,46,53,59,61,61,2,5,,13.0,14.0,12.0,8.0,3.0,6.0,4.0,7,6,14.4
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,06,ヴァッフシュテルケ,菱田裕,85.1,16,超高速スタミナ,カスリ,7,9,47,62,64,62,53,56,59,-5,11,,10.0,2.0,1.0,3.0,5.0,12.0,8.0,12,16,121.2
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,07,メイショウカリン,津村明,4.1,2,超高速持続,カスリ,8,9,55,47,43,41,44,65,70,15,1,,6.0,9.0,13.0,13.0,11.0,1.0,1.0,1,2,5.0
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,08,レディバード,川又賢,8.3,4,超高速スタミナ,カスリ,3,5,63,65,52,54,53,59,60,-1,7,,1.0,1.0,7.0,6.0,5.0,8.0,5.0,9,3,6.3
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,09,イキオイ,丹内祐,48.8,15,超高速スタミナ,カスリ,10,10,45,60,64,68,61,63,55,-2,9,,12.0,4.0,1.0,1.0,2.0,4.0,15.0,5,10,33.5
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,10,エンゲージリング,杉原誠,38.1,13,中速スタミナ,,16,15,49,52,52,43,37,54,52,-14,16,,9.0,7.0,7.0,11.0,16.0,14.0,16.0,3,5,10.2
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,11,プッシュアゲン,勝浦正,26.6,10,低速持続,,2,2,54,36,34,55,76,61,59,0,6,,7.0,15.0,15.0,5.0,1.0,6.0,8.0,13,14,46.0
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,12,リュウノユキナ,横山武,7.9,3,高速スタミナ,,12,11,43,51,57,54,48,56,57,-7,13,,13.0,8.0,5.0,6.0,8.0,12.0,13.0,6,8,19.1
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,13,トロワゼトワル,鮫島駿,3.1,1,超高速底力,ピッタリ,1,0,51,62,61,64,58,65,62,7,2,,8.0,2.0,4.0,2.0,4.0,1.0,2.0,2,1,3.7
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,14,リノワールド,嶋田純,19.9,8,高速スタミナ,,6,9,61,44,34,39,52,59,59,-2,10,,4.0,12.0,15.0,15.0,7.0,8.0,8.0,16,11,33.6
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,15,シュエットヌーベル,西田雄,10.7,6,高速底力,カスリ,15,14,31,45,62,57,46,62,60,2,4,,15.0,10.0,3.0,4.0,10.0,5.0,5.0,8,9,20.5
福島11R　河北新報杯３歳上(ハンデ)　芝1200ｍ　15:25発走,16,クラウンアゲン,荻野極,37.9,12,高速スタミナ,,14,13,56,58,53,45,39,53,60,-7,14,,5.0,5.0,6.0,10.0,15.0,15.0,5.0,14,13,42.0
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,01,デルマウオッカ,吉田隼,5.0,3,中速瞬発,カスリ,3,5,57,59,52,56,57,54,59,1,7,,3.0,4.0,8.0,4.0,4.0,10.0,3.0,1,2,5.0
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,02,キャッチミーアップ,富田暁,31.0,11,高速持続,,9,13,46,41,46,51,56,58,55,1,5,,9.0,14.0,12.0,11.0,6.0,2.0,7.0,4,6,15.2
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,03,タイドオーバー,宮崎北,103.0,16,中速バランス,ピッタリ,6,12,50,57,57,52,46,43,42,-27,16,,6.0,5.0,4.0,10.0,13.0,15.0,16.0,15,16,218.5
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,04,タガノスカイハイ,鮫島駿,24.3,7,中速底力,,14,21,45,39,45,45,48,51,54,-7,12,,11.0,15.0,13.0,13.0,11.0,13.0,13.0,2,8,18.3
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,05,サラザン,岩崎翼,32.6,12,中速持続,カスリ,15,31,48,43,45,33,29,52,51,-9,13,,8.0,12.0,13.0,15.0,15.0,11.0,15.0,12,14,89.1
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,06,レッドイリーゼ,津村明,7.4,5,中速持続,カスリ,2,4,50,61,61,66,63,58,61,7,2,,6.0,3.0,1.0,1.0,1.0,2.0,1.0,5,4,5.5
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,07,マイネルユニブラン,丹内祐,40.6,13,中速持続,カスリ,12,16,76,45,19,30,49,58,54,0,8,,1.0,9.0,16.0,16.0,10.0,2.0,13.0,14,11,52.5
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,08,ショウナンサスケ,古川吉,5.2,4,高速瞬発,,11,16,46,46,51,48,47,58,56,2,4,,9.0,8.0,10.0,12.0,12.0,2.0,4.0,7,1,4.8
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,09,デナリ,勝浦正,27.2,8,低速バランス,カスリ,16,32,43,42,48,35,28,39,55,-18,15,,13.0,13.0,11.0,14.0,16.0,16.0,7.0,9,13,76.8
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,10,マハヴィル,丸山元,4.1,2,中速持続,カスリ,7,13,44,52,58,53,46,57,56,1,6,,12.0,7.0,3.0,6.0,13.0,6.0,4.0,10,3,5.4
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,11,シャイントレイル,川又賢,27.2,9,中速持続,カスリ,8,13,35,44,60,62,59,56,61,5,3,,16.0,10.0,2.0,2.0,3.0,8.0,1.0,11,7,16.6
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,12,ヴァイスジーニー,荻野極,81.7,15,中速持続,カスリ,10,15,41,44,54,57,57,57,55,0,9,,15.0,10.0,7.0,3.0,4.0,6.0,7.0,13,15,136.0
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,13,ソイルトゥザソウル,丸田恭,19.8,6,中速バランス,ピッタリ,13,20,43,36,43,53,61,44,55,-13,14,,13.0,16.0,15.0,6.0,2.0,14.0,7.0,6,10,31.4
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,14,マツリダウメキチ,菱田裕,27.2,10,中速瞬発,カスリ,1,0,57,63,56,54,51,52,55,-5,11,,3.0,2.0,5.0,5.0,8.0,11.0,7.0,3,9,22.6
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,15,アンネリース,黛弘人,3.9,1,中速底力,,4,5,65,70,55,53,50,66,56,10,1,,2.0,1.0,6.0,6.0,9.0,1.0,4.0,8,5,6.1
福島12R　二本松特別３歳上(定量)　芝1800ｍ　16:00発走,16,ベストティアーズ,柴山雄,47.5,14,中速瞬発,カスリ,5,6,55,56,52,53,54,56,55,-1,10,,5.0,6.0,8.0,6.0,7.0,8.0,7.0,16,12,71.9
京都1R　２歳未勝利２歳(馬齢)　芝1200ｍ　10:05発走,01,ブラボーフェスタ,戸崎圭,12.3,7,低速スタミナ,,12,25,56,57,54,41,34,3,35,-46,14,,5.0,3.0,4.0,10.0,14.0,9.0,9.0,6,7,17.5
京都1R　２歳未勝利２歳(馬齢)　芝1200ｍ　10:05発走,02,ビップデーア,大野拓,59.2,14,低速瞬発,,8,18,37,49,62,63,55,27,25,-32,12,,14.0,8.0,3.0,2.0,5.0,10.0,14.0,14,14,297.3
京都1R　２歳未勝利２歳(馬齢)　芝1200ｍ　10:05発走,03,ラインアポロン,藤懸貴,11.5,6,高速持続,,2,2,46,44,44,57,64,39,42,-3,4,,8.0,10.0,10.0,4.0,1.0,5.0,4.0,4,5,12.7
京都1R　２歳未勝利２歳(馬齢)　芝1200ｍ　10:05発走,04,トモノマウイ,国分恭,45.4,12,中速スタミナ,,14,31,41,44,50,40,37,8,33,-43,13,,11.0,10.0,8.0,11.0,12.0,1.0,12.0,11,11,161.8
京都1R　２歳未勝利２歳(馬齢)　芝1200ｍ　10:05発走,05,コハルビヨリ,川田将,2.9,1,超高速スタミナ,,1,0,65,56,45,53,58,42,43,1,2,,1.0,4.0,9.0,6.0,4.0,3.0,3.0,2,1,2.5
京都1R　２歳未勝利２歳(馬齢)　芝1200ｍ　10:05発走,06,ケアナエ,幸英明,30.3,9,高速持続,,11,21,64,55,43,39,41,21,35,-28,11,,2.0,6.0,12.0,12.0,11.0,12.0,9.0,10,9,90.3
京都1R　２歳未勝利２歳(馬齢)　芝1200ｍ　10:05発走,07,ビービーソウル,武　豊,8.8,4,高速スタミナ,,9,19,54,55,54,53,50,32,42,-10,6,,6.0,6.0,4.0,6.0,7.0,7.0,4.0,13,8,25.8
京都1R　２歳未勝利２歳(馬齢)　芝1200ｍ　10:05発走,08,サルース,太宰啓,45.6,13,高速瞬発,,7,17,62,66,64,59,49,31,35,-18,7,,3.0,1.0,2.0,3.0,8.0,8.0,9.0,9,13,232.5
京都1R　２歳未勝利２歳(馬齢)　芝1200ｍ　10:05発走,09,メイショウユウバエ,古川吉,39.2,11,高速持続,,10,19,40,40,44,45,49,23,33,-28,10,,12.0,12.0,10.0,9.0,8.0,11.0,12.0,7,10,93.9
京都1R　２歳未勝利２歳(馬齢)　芝1200ｍ　10:05発走,10,モノディアロゴス,福永祐,6.3,3,高速底力,,6,12,44,36,35,50,63,40,42,-2,3,,9.0,13.0,13.0,8.0,2.0,4.0,4.0,1,3,8.5
京都1R　２歳未勝利２歳(馬齢)　芝1200ｍ　10:05発走,11,パドカトル,松山弘,8.9,5,超高速持続,カスリ,4,10,43,47,53,56,55,39,42,-3,5,,10.0,9.0,6.0,5.0,5.0,5.0,4.0,5,6,13.7
京都1R　２歳未勝利２歳(馬齢)　芝1200ｍ　10:05発走,12,グラウシュトラール,森泰斗,14.4,8,中速瞬発,,5,10,38,32,33,38,49,21,44,-19,8,,13.0,14.0,14.0,14.0,8.0,12.0,1.0,8,4,10.8
京都1R　２歳未勝利２歳(馬齢)　芝1200ｍ　10:05発走,13,メジャーハリケーン,池添謙,4.3,2,高速スタミナ,,3,6,52,62,67,69,59,43,44,3,1,,7.0,2.0,1.0,1.0,3.0,2.0,1.0,3,2,3.2
